review,sentiment
this product is amazing,positive
excellent quality,positive
i love this product,positive
very good item,positive
superb performance,positive
nice product,positive
great value,positive
highly recommend,positive
will buy again,positive
quality is excellent,positive
awesome product,positive
awesome experience,positive
love it,positive
definitely worth it,positive
excellent service,positive
satisfied with the purchase,positive
amazing quality,positive
fantastic product,positive
fantastic experience,positive
my favorite product,positive
my favorite purchase,positive
my favorite item,positive
my favorite,positive
my favorite quality,positive
nice experience,positive
nice performance,positive
nice quality,positive
nice item,positive
good,positive
nice,positive


bad experience,negative
very bad quality,negative
worst purchase ever,negative
poor performance,negative
not good,negative
terrible service,negative
waste of money,negative
bad product,negative
very disappointed,negative
very poor quality,negative
bad item,negative
very bad,negative
very bad experience,negative
very bad product,negative
bad quality,negative
bad performance,negative
not worth it,negative
awful product,negative
awful experience,negative
quality is terrible,negative
quality is bad,negative
horrible product,negative
horrible experience,negative
low quality,negative
low performance,negative
